key,press_time,release_time,dwell_time,flight_time
s,2154.4,2290.5,136.1,2895.2
e,5185.7,5375.9,190.2,2147.9
c,7523.8,7710.4,186.6,3032.8
u,10743.2,10960.5,217.3,2320.9
r,13281.4,13498.7,217.3,2287.3
e,15786.0,15976.4,190.4,2097.0
p,18073.4,18329.4,256.0,2050.5
a,20379.9,20566.7,186.8,1866.9
s,22433.6,22621.2,187.6,1875.2
s,24496.4,24712.5,216.1,1741.2
w,26453.7,26611.5,157.8,1985.5
o,28597.0,28820.5,223.5,2556.0
r,31376.5,31607.9,231.4,1814.0
d,33421.9,33583.2,161.3,1437.0
1,35020.2,35224.3,204.1,1471.9
2,36696.2,36876.5,180.3,1195.8
3,38072.3,38261.7,189.4,435.6
Enter,38697.3,38774.0,76.7,0.0
